demand [dɪˈmænd] (v.) [anki:play:q:0]	требовать, нуждаться [anki:play:a:0]
suck [ˈsək] (v.) [anki:play:q:0]	сосать, высасывать [anki:play:a:0]
answer [ˈænsər] (n.) [anki:play:q:0]	ответ, ответное действие [anki:play:a:0]
despite [dɪˈspaɪt] (prep.) [anki:play:q:0]	несмотря на, вопреки чему-л. [anki:play:a:0]
value [ˈvæljuː] (n.) [anki:play:q:0]	ценность, важность [anki:play:a:0]
document [ˈdɑkjəmənt] (n.) [anki:play:q:0]	документ, свидетельство [anki:play:a:0]
place [ˈpleɪs] (v.) [anki:play:q:0]	помещать, размещать, ставить, класть [anki:play:a:0]
full [ˈfʊl] (adj.) [anki:play:q:0]	полный, заполненный [anki:play:a:0]
lucky [ˈləkiː] (adj.) [anki:play:q:0]	счастливый, удачный [anki:play:a:0]
sad [ˈsæd] (adj.) [anki:play:q:0]	грустный, печальный [anki:play:a:0]
crush [ˈkrəʃ] (v.) [anki:play:q:0]	давить, мять [anki:play:a:0]
huge [ˈhjuːdʒ] (adj.) [anki:play:q:0]	большой, огромный, громадный [anki:play:a:0]
might [ˈmaɪt] (modal v.) [anki:play:q:0]	мог бы [anki:play:a:0]
across [əˈkrɔs] (prep.) [anki:play:q:0]	сквозь, через [anki:play:a:0]
care [ˈker] (n.) [anki:play:q:0]	забота, уход [anki:play:a:0]
painter [ˈpeɪntər] (n.) [anki:play:q:0]	художник, маляр [anki:play:a:0]
within [wɪˈðɪn] (prep.) [anki:play:q:0]	в, внутри [anki:play:a:0]
definition [ˌdefəˈnɪʃən] (n.) [anki:play:q:0]	определение, формулировка [anki:play:a:0]
last [ˈlæst] (adj.) [anki:play:q:0]	последний, завершающий [anki:play:a:0]
nearby [nɪrˈbaɪ] (adv.) [anki:play:q:0]	вблизи, поблизости [anki:play:a:0]
sore [ˈsɔr] (adj.) [anki:play:q:0]	больной, болезненный [anki:play:a:0]
figure [ˈfɪgjər] (n.) [anki:play:q:0]	фигура, телосложение [anki:play:a:0]
toward [ˈtoʊərd] (adj.) [anki:play:q:0]	по направлению, по отношению к, предстоящий, для, к моменту [anki:play:a:0]
whether [ˈweðər] (conj.) [anki:play:q:0]	ли [anki:play:a:0]
foot [ˈfʊt] (n.) [anki:play:q:0]	ступня, лапа [anki:play:a:0]
offense [əˈfens] (n.) [anki:play:q:0]	поступок, нарушение чего-л. [anki:play:a:0]
view [ˈvjuː] (n.) [anki:play:q:0]	вид, пейзаж [anki:play:a:0]
hold [ˈhoʊld] (n.) [anki:play:q:0]	захват, сжатие [anki:play:a:0]
museum [mjʊˈziːəm] (n.) [anki:play:q:0]	музей [anki:play:a:0]
guard [ˈgɑrd] (v.) [anki:play:q:0]	охранять, караулить [anki:play:a:0]
finish [ˈfɪnɪʃ] (v.) [anki:play:q:0]	кончать, заканчивать, финишировать [anki:play:a:0]
musical [ˈmjuːzɪkəl] (adj.) [anki:play:q:0]	музыкальный [anki:play:a:0]
flow [ˈfloʊ] (v.) [anki:play:q:0]	течь, струиться [anki:play:a:0]
gray [ˈgreɪ] (n.) [anki:play:q:0]	серый цвет или краска [anki:play:a:0]
infection [ɪnˈfekʃən] (n.) [anki:play:q:0]	инфекция [anki:play:a:0]
fear [ˈfɪr] (v.) [anki:play:q:0]	боятся, пугаться, предчувствовать (что-л. дурное) , ожидать (несчастья) [anki:play:a:0]
arrow [ˈeroʊ] (n.) [anki:play:q:0]	стрела, стрелка [anki:play:a:0]
outside [ˌæʊtˈsaɪd] (adv.) [anki:play:q:0]	снаружи, извне [anki:play:a:0]
bar [ˈbɑr] (n.) [anki:play:q:0]	брусок, кусок [anki:play:a:0]
absolutely [ˈæbsəˌluːtliː] (adv.) [anki:play:q:0]	абсолютно, безусловно [anki:play:a:0]
best [ˈbest] (adj.) [anki:play:q:0]	лучший [anki:play:a:0]
anybody [anybody] (pron.) [anki:play:q:0]	кто-нибудь, никто, любой [anki:play:a:0]
search [ˈsərtʃ] (n.) [anki:play:q:0]	поиск(и), розыск (внимательный) [anki:play:a:0]
show [ˈʃoʊ] (n.) [anki:play:q:0]	спектакль, представление, шоу [anki:play:a:0]
early [ˈərliː] (adv.) [anki:play:q:0]	в начале, рано, досрочно [anki:play:a:0]
grateful [ˈgreɪtfəl] (adj.) [anki:play:q:0]	благодарный, признательный [anki:play:a:0]
buy [ˈbaɪ] (v.) [anki:play:q:0]	покупать [anki:play:a:0]
sensitive [ˈsensətɪv] (adj.) [anki:play:q:0]	чувствительный, нежный [anki:play:a:0]
careful [careful] (adj.) [anki:play:q:0]	заботливый, осмотрительный [anki:play:a:0]
vehicle [ˈviːəkəl] (n.) [anki:play:q:0]	транспортное средство, авто [anki:play:a:0]
practice [ˈpræktəs] (v.) [anki:play:q:0]	тренироваться, практиковать [anki:play:a:0]
tight [ˈtaɪt] (adv.) [anki:play:q:0]	тесно, крепко, туго [anki:play:a:0]
summer [ˈsəmər] (n.) [anki:play:q:0]	лето [anki:play:a:0]
bread [ˈbred] (n.) [anki:play:q:0]	хлеб, корм [anki:play:a:0]
difficult [ˈdɪfɪkəlt] (adj.) [anki:play:q:0]	трудный, сложный [anki:play:a:0]
he [ˈhiː] (pron.) [anki:play:q:0]	он [anki:play:a:0]
spoil [ˈspɔɪl] (v.) [anki:play:q:0]	портить, портиться [anki:play:a:0]
while [ˈwaɪl] (conj.) [anki:play:q:0]	пока, в то время как [anki:play:a:0]
clear [ˈklɪr] (v.) [anki:play:q:0]	очищать, осветлять [anki:play:a:0]
plastic [ˈplæstɪk] (n.) [anki:play:q:0]	пластик [anki:play:a:0]
relevant [ˈreləvənt] (adj.) [anki:play:q:0]	значимый, важный [anki:play:a:0]
male [ˈmɑliː] (n.) [anki:play:q:0]	мужчина, самец [anki:play:a:0]
against [əˈgenst] (prep.) [anki:play:q:0]	перед, у, рядом, против [anki:play:a:0]
tune [ˈtuːn] (n.) [anki:play:q:0]	мелодия, напев [anki:play:a:0]
coffee [ˈkɔfiː] (n.) [anki:play:q:0]	кофе [anki:play:a:0]
underwear [ˈəndərˌwer] (n.) [anki:play:q:0]	подземные воды [anki:play:a:0]
whatever [wɑtˈevər] (pron.) [anki:play:q:0]	все что, чтобы ни, все [anki:play:a:0]
few [ˈfjuː] (n.) [anki:play:q:0]	некоторые, несколько [anki:play:a:0]
therefore [ˈðerˌfɔr] (adv.) [anki:play:q:0]	по этой причине, поэтому [anki:play:a:0]
ugly [ˈəgliː] (adj.) [anki:play:q:0]	безобразный, уродливый [anki:play:a:0]
reply [rɪˈplaɪ] (v.) [anki:play:q:0]	отвечать, реагировать на... [anki:play:a:0]
fact [ˈfækt] (n.) [anki:play:q:0]	факт, обстоятельство [anki:play:a:0]
space [ˈspeɪs] (n.) [anki:play:q:0]	пространство, космос [anki:play:a:0]
once [ˈwəns] (adv.) [anki:play:q:0]	один раз, однажды [anki:play:a:0]
enough [ɪˈnəf] (adv.) [anki:play:q:0]	довольно, достаточно [anki:play:a:0]
light [ˈlaɪt] (adj.) [anki:play:q:0]	светлый, ясный [anki:play:a:0]
nation [ˈneɪʃən] (n.) [anki:play:q:0]	народ, нация [anki:play:a:0]
fashion [ˈfæʃən] (n.) [anki:play:q:0]	форма, манера поведения, мода [anki:play:a:0]
cool [ˈkuːl] (adj.) [anki:play:q:0]	прохладный, свежий [anki:play:a:0]
route [ˈruːt] (n.) [anki:play:q:0]	дорога, путь [anki:play:a:0]
front [ˈfrənt] (n.) [anki:play:q:0]	перед, передняя часть [anki:play:a:0]
religious [rɪˈlɪdʒəs] (adj.) [anki:play:q:0]	религиозный [anki:play:a:0]
wire [ˈwaɪr] (n.) [anki:play:q:0]	проволока [anki:play:a:0]
close [ˈkloʊz] (v.) [anki:play:q:0]	закрывать [anki:play:a:0]
beard [ˈbɪrd] (n.) [anki:play:q:0]	борода [anki:play:a:0]
bathroom [bathroom] (n.) [anki:play:q:0]	ванная комната [anki:play:a:0]
culture [ˈkəltʃər] (n.) [anki:play:q:0]	культура [anki:play:a:0]
cruel [ˈkruːl] (adj.) [anki:play:q:0]	жестокий, лютый [anki:play:a:0]
compare [kəmˈper] (v.) [anki:play:q:0]	сравнивать, сличать [anki:play:a:0]
white [ˈwaɪt] (adj.) [anki:play:q:0]	белый, седой [anki:play:a:0]
false [ˈfɔls] (adj.) [anki:play:q:0]	неправильный, ошибочный, фальшивый [anki:play:a:0]
mail [ˈmeɪl] (v.) [anki:play:q:0]	посылать посылку, письмо тд. [anki:play:a:0]
no one [ˈnoʊ ˈwən ] (pron.) [anki:play:q:0]	никто [anki:play:a:0]
fair [ˈfer] (adj.) [anki:play:q:0]	порядочный, честный, справедливый [anki:play:a:0]
office [ˈɑfəs] (n.) [anki:play:q:0]	офис, пост, должность, контора [anki:play:a:0]
far [ˈfɑr] (adv.) [anki:play:q:0]	вдали, далеко [anki:play:a:0]
bus [ˈbəs] (n.) [anki:play:q:0]	автобус [anki:play:a:0]
net [ˈnet] (n.) [anki:play:q:0]	сеть, невод [anki:play:a:0]
expert [ˈekˌspərt] (n.) [anki:play:q:0]	знаток, мастер [anki:play:a:0]
